id,id_day,date,sentence_id,.fitted,high_note
104,1,2022-04-16,96,0.7965428681220308,TRUE
105,1,2022-04-17,102,2.614854763529399,TRUE
106,1,2022-04-18,76,2.8418456861415198,TRUE
107,1,2022-04-19,70,0.8798573682901469,TRUE
108,1,2022-04-20,80,1.9869573900997657,TRUE
109,1,2022-04-21,142,2.3675098371967764,TRUE
110,1,2022-04-22,110,3.4336526161077345,TRUE
111,2,2022-04-22,61,1.2085585713587874,TRUE
112,3,2022-04-22,90,1.8563691488257774,TRUE
113,1,2022-04-24,80,1.8214480046186872,TRUE
114,2,2022-04-24,124,3.6178842456236304,TRUE
115,1,2022-04-25,88,3.9692041669022906,TRUE
116,2,2022-04-25,86,2.105101698499518,TRUE
117,1,2022-04-26,111,3.7167723944011777,TRUE
118,1,2022-04-27,66,2.527986337131352,TRUE
119,1,2022-04-28,82,2.696857916488434,TRUE
120,1,2022-04-29,50,5.46518141644737,TRUE
121,1,2022-04-30,89,1.6764164177437302,TRUE
122,1,2022-05-01,58,3.4280203719449083,TRUE
123,1,2022-05-02,77,2.158366729428542,TRUE
124,1,2022-05-03,119,2.072621064573312,TRUE
125,2,2022-05-03,106,3.3286087923954897,TRUE
126,3,2022-05-03,81,4.1603513138842265,TRUE
127,1,2022-05-04,65,1.3236257602595998,TRUE
128,1,2022-05-05,77,3.7349133634087073,TRUE
129,2,2022-05-05,48,1.430689563741773,TRUE
130,3,2022-05-05,100,2.666089586177009,TRUE
131,1,2022-05-06,110,1.5387436610682763,TRUE
132,2,2022-05-06,89,1.6909234138672524,TRUE
133,3,2022-05-06,61,2.147446296787923,TRUE
134,1,2022-05-07,66,3.1543423829413584,TRUE
135,1,2022-05-08,178,0.4465334700470525,TRUE
136,2,2022-05-08,94,4.216603030172995,TRUE
137,3,2022-05-08,73,4.000339988057221,TRUE
138,1,2022-05-09,70,2.2961549867083506,TRUE
139,2,2022-05-09,61,0.5303223298387786,TRUE
140,1,2022-05-10,106,1.1320316014962206,TRUE
141,2,2022-05-10,57,1.296381668465267,TRUE
142,1,2022-05-11,123,1.102176313348238,TRUE
143,2,2022-05-11,63,1.8345292064916077,TRUE
144,1,2022-05-12,47,5.894537003911507,TRUE
145,2,2022-05-12,65,2.67067417973073,TRUE
146,1,2022-05-13,53,2.451905688321017,TRUE
147,1,2022-05-14,40,1.5768150354770045,TRUE
148,1,2022-05-15,49,2.0849830484726097,TRUE
149,1,2022-05-16,130,0.30046206268369074,TRUE
150,1,2022-05-17,41,0.5743189680633127,TRUE
151,2,2022-05-17,117,0.4547648936768154,TRUE
152,1,2022-05-18,45,0.0833971786800371,TRUE
153,2,2022-05-18,58,-0.22632798714045388,FALSE
154,3,2022-05-18,64,2.913149480123636,TRUE
155,1,2022-05-19,158,0.28248517240365295,TRUE
156,2,2022-05-19,59,4.2377703588688265,TRUE
157,1,2022-05-20,72,1.3983955779200206,TRUE
158,1,2022-05-21,69,1.203354226668483,TRUE
159,1,2022-05-22,119,0.7318549444361179,TRUE
160,2,2022-05-22,56,1.1038520326422887,TRUE
161,1,2022-05-23,151,-0.26007896952388626,FALSE
162,2,2022-05-23,64,1.8392493662592584,TRUE
163,1,2022-05-24,80,3.38636277118229,TRUE
164,1,2022-05-25,82,1.9850182098551397,TRUE
165,1,2022-05-26,90,0.4000239560609427,TRUE
166,2,2022-05-26,89,1.4558645418370235,TRUE
167,1,2022-05-27,113,1.328541740817194,TRUE
168,2,2022-05-27,139,0.3098446970096859,TRUE
169,3,2022-05-27,62,1.66174381478794,TRUE
170,1,2022-05-28,62,1.05703557853645,TRUE
171,1,2022-05-29,105,0.5223096369114072,TRUE
172,1,2022-05-30,151,-1.8243865108802417,FALSE
173,2,2022-05-30,60,-0.3298965130221584,FALSE
174,1,2022-05-31,61,2.2184583032695198,TRUE
175,1,2022-06-02,88,2.342323135425092,TRUE
176,2,2022-06-02,118,1.9521234473100766,TRUE
177,3,2022-06-02,109,1.1093223878998382,TRUE
178,4,2022-06-02,71,3.907308527338322,TRUE
179,1,2022-06-03,119,1.2548586607825367,TRUE
180,1,2022-06-04,78,0.9608770135337036,TRUE
181,2,2022-06-04,41,2.655268646550666,TRUE
182,3,2022-06-04,55,-0.025718234068919103,FALSE
183,1,2022-06-05,27,-0.22886640173799447,FALSE
184,1,2022-06-06,34,1.3893550174328402,TRUE
185,2,2022-06-06,63,2.739725588984565,TRUE
186,1,2022-06-07,72,0.8922702208408899,TRUE
187,1,2022-06-08,65,1.8925116251906788,TRUE
188,2,2022-06-08,51,4.176119864116502,TRUE
189,1,2022-06-09,111,1.213522233787106,TRUE
190,2,2022-06-09,67,1.8589329571500404,TRUE
191,3,2022-06-09,59,0.966345144085955,TRUE
192,1,2022-06-10,74,1.7695499563434776,TRUE
193,2,2022-06-10,87,1.7751827402826204,TRUE
194,1,2022-06-11,54,2.0193677255767497,TRUE
195,2,2022-06-11,81,3.937356252988179,TRUE
196,3,2022-06-11,43,0.5193580229443598,TRUE
197,1,2022-06-12,43,1.8880179301026674,TRUE
198,2,2022-06-12,49,1.9987939276543238,TRUE
199,1,2022-06-13,50,1.6295035141362746,TRUE
200,2,2022-06-13,86,1.3193632826721267,TRUE
201,1,2022-06-14,50,2.481965496337604,TRUE
202,1,2022-06-15,79,1.3004740105228974,TRUE
203,2,2022-06-15,46,1.2871347376395412,TRUE
204,1,2022-06-16,51,0.45960822967936316,TRUE
