id,date,id_day,negative,positive,sentiment
186,2022-06-06,1,0,3,3
187,2022-06-06,2,3,27,24
188,2022-06-07,1,6,10,4
189,2022-06-08,1,6,15,9
190,2022-06-08,2,0,8,8
191,2022-06-09,1,2,12,10
192,2022-06-09,2,7,4,-3
193,2022-06-09,3,4,7,3
194,2022-06-10,1,4,7,3
195,2022-06-10,2,13,11,-2
196,2022-06-11,1,2,9,7
197,2022-06-11,2,1,17,16
198,2022-06-11,3,5,8,3
199,2022-06-12,1,3,13,10
200,2022-06-12,2,1,13,12
201,2022-06-13,1,7,9,2
202,2022-06-13,2,4,16,12
203,2022-06-14,1,0,5,5
204,2022-06-15,1,12,17,5
205,2022-06-15,2,3,16,13
206,2022-06-16,1,1,15,14
207,2022-06-17,1,7,8,1
208,2022-06-17,2,4,33,29
209,2022-06-19,1,1,7,6
210,2022-06-19,2,3,22,19
211,2022-06-20,1,1,14,13
212,2022-06-20,2,8,10,2
213,2022-06-20,3,7,11,4
214,2022-06-21,1,2,13,11
215,2022-06-21,2,2,7,5
216,2022-06-21,3,0,23,23
217,2022-06-22,1,7,8,1
218,2022-06-22,2,1,16,15
219,2022-06-23,1,2,19,17
220,2022-06-23,2,4,14,10
221,2022-06-23,3,0,27,27
222,2022-06-24,1,12,35,23
223,2022-06-24,2,2,6,4
224,2022-06-24,3,5,3,-2
225,2022-06-25,1,1,4,3
226,2022-06-25,2,3,12,9
227,2022-06-26,1,2,6,4
228,2022-06-27,1,2,6,4
229,2022-06-28,1,10,25,15
230,2022-06-29,1,8,4,-4
231,2022-06-29,2,4,8,4
232,2022-06-29,3,11,22,11
233,2022-06-29,4,0,18,18
234,2022-06-30,1,1,19,18
235,2022-07-01,1,2,5,3
236,2022-07-01,2,4,28,24
237,2022-07-01,3,3,12,9
238,2022-07-02,1,3,16,13
239,2022-07-03,1,2,15,13
240,2022-07-04,1,5,14,9
241,2022-07-04,2,7,25,18
242,2022-07-04,3,3,15,12
243,2022-07-05,1,3,9,6
244,2022-07-05,2,3,6,3
245,2022-07-06,1,5,10,5
246,2022-07-07,1,4,15,11
