id,date,id_day,time,n
144,2022-05-11,1,19H 15M 0S,1521
145,2022-05-11,2,22H 18M 0S,897
146,2022-05-12,1,8H 46M 0S,857
147,2022-05-12,2,23H 16M 0S,779
148,2022-05-13,1,23H 8M 0S,718
149,2022-05-14,1,22H 51M 0S,662
150,2022-05-15,1,23H 1M 0S,748
151,2022-05-16,1,20H 52M 0S,1367
152,2022-05-17,1,17M 0S,528
153,2022-05-17,2,23H 48M 0S,1186
154,2022-05-18,1,24M 0S,501
155,2022-05-18,2,13H 52M 0S,816
156,2022-05-18,3,23H 42M 0S,889
157,2022-05-19,1,20H 3M 0S,1969
158,2022-05-19,2,23H 51M 0S,832
159,2022-05-20,1,22H 25M 0S,890
160,2022-05-21,1,23H 45M 0S,822
161,2022-05-22,1,16H 3M 0S,1553
162,2022-05-22,2,23H 31M 0S,755
163,2022-05-23,1,14H 55M 0S,2051
164,2022-05-23,2,22H 21M 0S,821
165,2022-05-24,1,22H 55M 0S,1031
166,2022-05-25,1,23H 43M 0S,1032
167,2022-05-26,1,16H 22M 0S,1446
168,2022-05-26,2,23H 51M 0S,1066
169,2022-05-27,1,15H 18M 0S,1752
170,2022-05-27,2,22H 53M 0S,1748
171,2022-05-27,3,23H 44M 0S,747
172,2022-05-28,1,21H 59M 0S,689
173,2022-05-29,1,20H 58M 0S,1228
174,2022-05-30,1,20H 14M 0S,1913
175,2022-05-30,2,23H 28M 0S,873
176,2022-05-31,1,22H 35M 0S,898
177,2022-06-02,1,23M 0S,942
178,2022-06-02,2,13H 30M 0S,1533
179,2022-06-02,3,18H 11M 0S,1476
180,2022-06-02,4,23H 58M 0S,971
181,2022-06-03,1,21H 35M 0S,1127
182,2022-06-04,1,9H 7M 0S,923
183,2022-06-04,2,10H 28M 0S,460
184,2022-06-04,3,23H 17M 0S,689
185,2022-06-05,1,21H 15M 0S,323
186,2022-06-06,1,1H 18M 0S,246
187,2022-06-06,2,23H 58M 0S,847
188,2022-06-07,1,23H 59M 0S,1066
189,2022-06-08,1,17H 46M 0S,795
190,2022-06-08,2,22H 38M 0S,684
191,2022-06-09,1,9H 25M 0S,1345
192,2022-06-09,2,14H 34M 0S,1214
193,2022-06-09,3,23H 54M 0S,854
194,2022-06-10,1,13H 3M 0S,1308
195,2022-06-10,2,22H 54M 0S,1181
196,2022-06-11,1,9M 0S,784
197,2022-06-11,2,13H 20M 0S,1438
198,2022-06-11,3,23H 30M 0S,575
199,2022-06-12,1,21H 18M 0S,427
200,2022-06-12,2,21H 46M 0S,638
201,2022-06-13,1,13H 22M 0S,680
202,2022-06-13,2,21H 52M 0S,1059
203,2022-06-14,1,22H 29M 0S,662
204,2022-06-15,1,15H 23M 0S,1448
205,2022-06-15,2,22H 46M 0S,648
206,2022-06-16,1,22H 17M 0S,762
207,2022-06-17,1,9H 45M 0S,1146
208,2022-06-17,2,21H 32M 0S,741
209,2022-06-19,1,5H 56M 0S,452
210,2022-06-19,2,22H 55M 0S,549
211,2022-06-20,1,16H 16M 0S,780
212,2022-06-20,2,16H 57M 0S,1489
213,2022-06-20,3,17H 53M 0S,1190
214,2022-06-21,1,1M 0S,906
215,2022-06-21,2,12H 58M 0S,283
216,2022-06-21,3,23H 38M 0S,820
217,2022-06-22,1,11H 54M 0S,254
218,2022-06-22,2,21H 20M 0S,1070
219,2022-06-23,1,20M 0S,833
220,2022-06-23,2,15H 35M 0S,1977
221,2022-06-23,3,22H 26M 0S,1205
222,2022-06-24,1,9H 37M 0S,1621
223,2022-06-24,2,19H 30M 0S,213
224,2022-06-24,3,23H 23M 0S,542
225,2022-06-25,1,25M 0S,158
226,2022-06-25,2,22H 45M 0S,569
227,2022-06-26,1,22H 47M 0S,833
228,2022-06-27,1,22H 39M 0S,728
229,2022-06-28,1,9H 2M 0S,1380
230,2022-06-29,1,0S,1564
231,2022-06-29,2,19M 0S,480
232,2022-06-29,3,13H 56M 0S,1729
233,2022-06-29,4,22H 49M 0S,754
234,2022-06-30,1,23H 32M 0S,554
235,2022-07-01,1,8H 3M 0S,1022
236,2022-07-01,2,11H 43M 0S,1208
237,2022-07-01,3,23H 27M 0S,596
238,2022-07-02,1,23H 10M 0S,631
239,2022-07-03,1,22H 46M 0S,841
240,2022-07-04,1,14H 42M 0S,730
241,2022-07-04,2,16H 44M 0S,1928
242,2022-07-04,3,22H 13M 0S,819
243,2022-07-05,1,12H 25M 0S,1424
244,2022-07-05,2,21H 35M 0S,715
245,2022-07-06,1,22H 30M 0S,731
246,2022-07-07,1,22H 59M 0S,661
247,2022-07-08,1,16H 45M 0S,1672
248,2022-07-09,1,37M 0S,537
249,2022-07-09,2,22H 15M 0S,500
250,2022-07-10,1,22H 25M 0S,557
251,2022-07-11,1,22H 32M 0S,751
252,2022-07-12,1,22H 42M 0S,685
253,2022-07-13,1,15H 4M 0S,1018
254,2022-07-13,2,22H 11M 0S,675
255,2022-07-14,1,17H 11M 0S,1462
256,2022-07-14,2,22H 50M 0S,745
257,2022-07-15,1,23H 19M 0S,647
258,2022-07-16,1,21H 59M 0S,732
259,2022-07-17,1,22H 30M 0S,967
260,2022-07-18,1,22H 37M 0S,475
261,2022-07-19,1,22H 59M 0S,867
262,2022-07-20,1,22H 6M 0S,803
263,2022-07-21,1,22H 25M 0S,837
264,2022-07-22,1,22H 28M 0S,725
265,2022-07-23,1,19H 4M 0S,981
266,2022-07-23,2,23H 42M 0S,689
267,2022-07-24,1,22H 2M 0S,462
268,2022-07-25,1,21H 28M 0S,598
269,2022-07-26,1,20H 20M 0S,896
270,2022-07-26,2,22H 38M 0S,652
271,2022-07-27,1,22H 45M 0S,571
272,2022-07-28,1,10H 41M 0S,1009
273,2022-07-28,2,16H 15M 0S,1504
274,2022-07-28,3,23H 22M 0S,704
275,2022-07-29,1,23H 51M 0S,676
276,2022-07-30,1,22H 22M 0S,569
277,2022-07-31,1,22H 11M 0S,594
278,2022-08-01,1,22H 22M 0S,763
279,2022-08-02,1,21H 50M 0S,811
