docname,pre,keyword,post,id,date,id_day
text86,"gentlemen , deputies and senators ! , dear members of the government ! , dear people of spain ! ,",thank you,"for this opportunity , with great respect from all the ukrainian people to you . , i am addressing you",86,2022-04-05,3
text86,know that many of your companies have already stopped financing the russian military machine through taxes . i want to,thank you,", your citizens , and your government . i am grateful to these companies , to your entire state and",86,2022-04-05,3
text88,"support of sanctions against russia . i am grateful for the humanitarian and financial support provided to us . ,",thank you,for taking special care of our people who have sought and found safety in your land . just think about,88,2022-04-06,2
text90,"i believe in this ! i know it ! , we will win everyone ! but only together ! ,",thank you,"for your support ! , glory to ukraine !",90,2022-04-07,2
text91,", including on the road to the european union . , on the way to our common peace . ,",thank you,"for your support ! , glory to ukraine !",91,2022-04-07,3
text93,"women killed by russian soldiers , russian missiles , russian bombs with a moment of silence . . . ,",thank you,". , russia has sent all its combat capable forces from all over their territory up to the far east",93,2022-04-08,1
text93,"win . first - in ukraine , and then - wherever tyranny will try to raise its head . ,",thank you,"finland ! , glory to ukraine !",93,2022-04-08,1
text100,", members of the government ! , dear deputies of the riigikogu ! , the people of estonia ! ,",thank you,for the opportunity to address you today . in circumstances that take us all back to the darkest times of,100,2022-04-13,2
text100,"a safe and free life on the continent governed by universally recognized law not by force . , and i",thank you,"for understanding that . , a crowded rally on february 26 with the participation of tens of thousands of estonians",100,2022-04-13,2
text100,"to expand the war zone to other countries . i believe that together we will never allow this . ,",thank you,", estonia ! , glory to ukraine !",100,2022-04-13,2
text105,"put . artem lukashuk and ivan heretsun brought ukraine "" silver "" and "" bronze "" in long jump .",thank you,"guys from all of us , from all ukrainians ! , this is always important , and now it is",105,2022-04-17,1
text105,"our people , our land from fire . who is at war almost every day even in peacetime . ,",thank you,"for your service ! , thank you for saving us ! , glory to ukraine !",105,2022-04-17,1
text105,". who is at war almost every day even in peacetime . , thank you for your service ! ,",thank you,"for saving us ! , glory to ukraine !",105,2022-04-17,1
text109,"freely and without any dictatorship , so that everyone always has the time for happiness and for saudade . ,",thank you,", portugal ! , glory to ukraine !",109,2022-04-21,1
text110,", dear ladies and gentlemen , ministers ! , greetings to all present at this historic world bank session and",thank you,"for the opportunity to address you today . , this sunday i spoke with mrs . kristalina georgieva and heard",110,2022-04-22,1
text110,"take place in ukraine . in one of our cities - maybe in kharkiv - with your support . ,",thank you,"very much for your attention ! , glory to ukraine !",110,2022-04-22,1
text111,"prime ministers of spain and denmark , two countries that have consistently supported ukraine , have arrived in kyiv .",thank you,". , the two leaders whose presence in kyiv encourages other leaders of the democratic world to think about visits",111,2022-04-22,2
text117,doctors for their work . for saving lives and trying to restore children's peace of mind under all circumstances .,thank you,"very much , dear doctors . , before delivering the evening address , i traditionally signed a decree awarding our",117,2022-04-26,1
text118,the struggle for ukraine . that is where the fighting for the future of our people is taking place .,thank you,"to everyone who brings our victory closer ! , i have just signed decrees on awarding our heroes . 173",118,2022-04-27,1
text122,"to all who stood up for the state ! , eternal memory to all who gave life for ukraine !",thank you,". , glory to ukraine !",122,2022-05-01,1
text124,"hope for victory . today , i , our parliament and the entire ukrainian people can say one thing :",thank you,", britain ! thank you , friends ! , dear people's deputies of ukraine ! , please agree , when",124,2022-05-03,1
text124,", i , our parliament and the entire ukrainian people can say one thing : thank you , britain !",thank you,", friends ! , dear people's deputies of ukraine ! , please agree , when there is such unity in",124,2022-05-03,1
text125,not hesitating who to support in this struggle . you are definitely on the side of freedom and truth .,thank you,for concrete steps for ukraine . for defense assistance . for supporting sanctions on russia . for taking care of,125,2022-05-03,2
text125,"bold . and someone is small on the map , but its cordiality is one of the greatest . ,",thank you,", albania ! , thank you for your support . thank you for your cordiality . , glory to ukraine",125,2022-05-03,2
text125,"on the map , but its cordiality is one of the greatest . , thank you , albania ! ,",thank you,"for your support . thank you for your cordiality . , glory to ukraine !",125,2022-05-03,2
text125,"cordiality is one of the greatest . , thank you , albania ! , thank you for your support .",thank you,"for your cordiality . , glory to ukraine !",125,2022-05-03,2
text127,"killed from growing . never again . , i am grateful to each and every one of you ! ,",thank you,", denmark ! , glory to ukraine !",127,2022-05-04,1
text129,"here with us now and can be even more effective . because this is for our common freedom . ,",thank you,"for your attention . , glory to ukraine !",129,2022-05-05,2
text130,"brothers-in-arms that ukraine and , to be honest , the whole of europe are now standing . , and i",thank you,"for your really effective support of this struggle . , bravery is rightly believed the first of human qualities as",130,2022-05-05,3
text130,"this struggle . , bravery is rightly believed the first of human qualities as it guarantees all others . ,",thank you,", britain ! , thank you , boris ! , thank you all ! , glory to ukraine !",130,2022-05-05,3
text130,"rightly believed the first of human qualities as it guarantees all others . , thank you , britain ! ,",thank you,", boris ! , thank you all ! , glory to ukraine !",130,2022-05-05,3
text130,"qualities as it guarantees all others . , thank you , britain ! , thank you , boris ! ,",thank you,"all ! , glory to ukraine !",130,2022-05-05,3
text131,", the more people understand the global nature of these challenges , the global nature of these responses . ,",thank you,"very much for your attention ! , glory to ukraine !",131,2022-05-06,1
text132,"work soon . but first we will defend freedom . our common freedom . we will do it . ,",thank you,", iceland ! , glory to ukraine !",132,2022-05-06,2
text136,", i would like to",thank you,"for the invitation . mr . chancellor , thank you . , i am thankful to all the respected leaders",136,2022-05-08,2
text136,", i would like to thank you for the invitation . mr . chancellor ,",thank you,". , i am thankful to all the respected leaders for this opportunity and for the fact that it is",136,2022-05-08,2
text136,"your people that freedom always wins . , thanks again to every country , to every leader present . ,",thank you,"for your attention ! , glory to ukraine !",136,2022-05-08,2
text137,cooperation . we have an extremely important decision by canada to remove all barriers to trade for one year .,thank you,", canada . this agreement was reached in negotiations with mr . trudeau and will work in the interests of",137,2022-05-08,3
text140,"more we strengthen european unity , the clearer the contours of our victory are . , our victory . ,",thank you,", slovakia ! , glory to ukraine !",140,2022-05-10,1
text142,"the end , i can ask the last question . if i get all the information from you . ,",thank you,for your attention !,142,2022-05-11,1
text144,", ladies and gentlemen ! , on behalf of all ukrainians , i would like to",thank you,for this award . it is a fair and correct gesture to honor with this award all the people of,144,2022-05-12,1
text144,"defending europe . i would like to ask you to honor their memory with a moment of silence . ,",thank you,". , the ukrainian people are people who do not spare themselves for the sake of others . this is",144,2022-05-12,1
text144,"are supported by you , by the whole world – free states and free nations of our planet . ,",thank you,"! , thank you for your attention ! , thank you for your support ! , thank you for the",144,2022-05-12,1
text144,", by the whole world – free states and free nations of our planet . , thank you ! ,",thank you,"for your attention ! , thank you for your support ! , thank you for the award and welcome to",144,2022-05-12,1
text144,"states and free nations of our planet . , thank you ! , thank you for your attention ! ,",thank you,"for your support ! , thank you for the award and welcome to ukraine !",144,2022-05-12,1
text144,". , thank you ! , thank you for your attention ! , thank you for your support ! ,",thank you,for the award and welcome to ukraine !,144,2022-05-12,1
text149,"always be the choice of your country . , just as it is the choice of our country . ,",thank you,"very much ! , glory to ukraine !",149,2022-05-16,1
text151,". and , as it has always been seen , first of all the voice of cinematography . , i",thank you,"all ! , glory to ukraine !",151,2022-05-17,2
text157,"its army . in particular , the rescuers in enerhodar who protested today deserve support from all of us .",thank you,". , each and every one must show that the occupiers have no right to decide anything on our land",157,2022-05-20,1
text157,"ukraine ! , and definitely the last one . today is three years since i became president of ukraine .",thank you,"for your trust . i am proud to be the president . , love you ! , i will not",157,2022-05-20,1
text159,"and help is felt in every region , every city , village , in every community of ukraine . ,",thank you,", warsaw , kraków . thank you , łódź , poznań , wrocław . thank you gdańsk , bydgoszcz ,",159,2022-05-22,1
text159,", every city , village , in every community of ukraine . , thank you , warsaw , kraków .",thank you,", łódź , poznań , wrocław . thank you gdańsk , bydgoszcz , toruń . thank you , lublin ,",159,2022-05-22,1
text159,"of ukraine . , thank you , warsaw , kraków . thank you , łódź , poznań , wrocław .",thank you,"gdańsk , bydgoszcz , toruń . thank you , lublin , katowice , opole , szczecin . gorzów wielkopolski ,",159,2022-05-22,1
text159,", kraków . thank you , łódź , poznań , wrocław . thank you gdańsk , bydgoszcz , toruń .",thank you,", lublin , katowice , opole , szczecin . gorzów wielkopolski , zielona góra . thank you , rzeszów ,",159,2022-05-22,1
text159,", toruń . thank you , lublin , katowice , opole , szczecin . gorzów wielkopolski , zielona góra .",thank you,", rzeszów , białystok , olsztyn , kielce . these are sister cities of our cities - kyiv , lviv",159,2022-05-22,1
