id,id_day,date,time,n
631,1,2023-04-04,19H 53M 0S,1142
632,2,2023-04-04,22H 42M 0S,664
633,1,2023-04-05,38M 0S,1317
634,2,2023-04-05,22H 45M 0S,1519
635,1,2023-04-06,22H 13M 0S,433
636,1,2023-04-07,23H 14M 0S,523
637,1,2023-04-08,21H 9M 0S,746
638,1,2023-04-09,21H 30M 0S,587
639,1,2023-04-11,22H 28M 0S,672
640,1,2023-04-12,11H 9M 0S,232
641,2,2023-04-12,22H 27M 0S,776
642,3,2023-04-12,23H 57M 0S,853
643,1,2023-04-13,18H 59M 0S,718
644,1,2023-04-14,19H 34M 0S,724
645,1,2023-04-15,21H 8M 0S,649
646,1,2023-04-16,8H 0M 0S,843
647,1,2023-04-17,18H 29M 0S,620
648,1,2023-04-18,22H 15M 0S,529
649,1,2023-04-19,23H 47M 0S,450
650,1,2023-04-20,16H 54M 0S,1382
651,2,2023-04-20,23H 9M 0S,800
652,1,2023-04-21,10H 6M 0S,1514
653,2,2023-04-21,19H 2M 0S,628
654,1,2023-04-22,21H 21M 0S,590
655,1,2023-04-23,21H 10M 0S,662
656,1,2023-04-24,19H 42M 0S,678
657,1,2023-04-25,22H 23M 0S,790
658,1,2023-04-26,18H 21M 0S,1536
659,2,2023-04-26,22H 25M 0S,916
660,1,2023-04-27,21H 51M 0S,625
661,1,2023-04-28,21H 51M 0S,744
662,1,2023-04-29,20H 42M 0S,489
663,1,2023-04-30,16H 31M 0S,619
664,1,2023-05-01,21H 56M 0S,680
665,1,2023-05-02,20H 5M 0S,471
666,1,2023-05-04,14H 52M 0S,1187
667,2,2023-05-04,16H 53M 0S,1374
668,1,2023-05-05,17H 41M 0S,1511
669,2,2023-05-05,20H 27M 0S,688
670,1,2023-05-06,19H 35M 0S,474
671,1,2023-05-07,20H 22M 0S,610
672,1,2023-05-08,9H 0M 0S,1399
673,2,2023-05-08,21H 39M 0S,734
674,1,2023-05-09,17H 33M 0S,823
675,2,2023-05-09,21H 51M 0S,682
676,1,2023-05-10,22H 25M 0S,644
677,1,2023-05-11,22H 41M 0S,1010
678,1,2023-05-12,18H 19M 0S,519
679,1,2023-05-13,23H 25M 0S,627
680,1,2023-05-14,22H 49M 0S,2297
681,1,2023-05-15,19H 19M 0S,543
682,1,2023-05-16,22H 26M 0S,537
683,2,2023-05-16,23H 14M 0S,722
684,1,2023-05-17,22H 30M 0S,467
685,1,2023-05-18,19H 15M 0S,633
686,2,2023-05-18,21H 1M 0S,697
687,1,2023-05-19,17H 36M 0S,1163
688,1,2023-05-20,18H 18M 0S,512
689,1,2023-05-21,7H 33M 0S,1098
690,2,2023-05-21,8H 19M 0S,642
691,3,2023-05-21,16H 3M 0S,1040
692,4,2023-05-21,21H 2M 0S,359
693,1,2023-05-22,18H 8M 0S,420
694,1,2023-05-23,22H 24M 0S,503
695,1,2023-05-24,21H 56M 0S,899
696,1,2023-05-25,17H 47M 0S,741
697,2,2023-05-25,21H 14M 0S,670
698,3,2023-05-25,21H 35M 0S,1176
699,1,2023-05-26,19H 23M 0S,503
700,1,2023-05-27,21H 15M 0S,470
701,1,2023-05-28,19H 5M 0S,721
702,1,2023-05-29,19H 31M 0S,307
703,2,2023-05-29,21H 48M 0S,794
704,1,2023-05-30,22H 11M 0S,666
705,1,2023-05-31,12H 58M 0S,1844
706,2,2023-05-31,22H 53M 0S,579
707,1,2023-06-01,15H 45M 0S,980
708,2,2023-06-01,21H 38M 0S,703
709,1,2023-06-02,19H 50M 0S,733
710,1,2023-06-03,22H 39M 0S,667
711,1,2023-06-04,20H 2M 0S,754
712,1,2023-06-05,21H 55M 0S,647
713,1,2023-06-06,14H 45M 0S,1012
714,2,2023-06-06,22H 26M 0S,596
715,1,2023-06-07,0S,457
716,2,2023-06-07,22H 41M 0S,897
717,1,2023-06-08,21H 20M 0S,837
718,1,2023-06-09,32M 0S,586
719,2,2023-06-09,20H 2M 0S,704
720,1,2023-06-10,18H 53M 0S,676
721,1,2023-06-11,20H 12M 0S,688
722,2,2023-06-11,21H 31M 0S,675
723,1,2023-06-12,22H 21M 0S,480
724,1,2023-06-13,22H 46M 0S,905
725,1,2023-06-14,23H 19M 0S,615
726,1,2023-06-15,19H 49M 0S,1251
727,2,2023-06-15,22H 31M 0S,817
728,1,2023-06-16,22H 54M 0S,291
729,1,2023-06-17,21H 58M 0S,568
730,1,2023-06-18,22H 31M 0S,626
731,1,2023-06-19,22H 16M 0S,758
732,1,2023-06-20,22H 1M 0S,460
733,1,2023-06-21,14H 51M 0S,1771
734,2,2023-06-21,22H 32M 0S,503
735,1,2023-06-22,9H 36M 0S,592
736,2,2023-06-22,11H 53M 0S,351
737,3,2023-06-22,22H 30M 0S,778
738,1,2023-06-23,12H 26M 0S,1203
739,2,2023-06-23,16H 45M 0S,672
740,3,2023-06-23,19H 39M 0S,724
741,1,2023-06-24,20H 10M 0S,703
742,1,2023-06-25,11H 17M 0S,533
743,2,2023-06-25,23H 12M 0S,543
744,1,2023-06-27,30M 0S,391
745,2,2023-06-27,23H 11M 0S,437
746,1,2023-06-28,17H 7M 0S,9122
747,2,2023-06-28,22H 49M 0S,810
748,1,2023-06-29,19H 2M 0S,1161
749,2,2023-06-29,22H 1M 0S,423
750,3,2023-06-29,22H 25M 0S,534
751,1,2023-06-30,19H 45M 0S,634
752,1,2023-07-01,21H 26M 0S,580
753,1,2023-07-02,16H 1M 0S,387
754,1,2023-07-03,20H 49M 0S,963
755,1,2023-07-04,23H 13M 0S,754
756,1,2023-07-05,19H 3M 0S,405
757,2,2023-07-05,21H 25M 0S,1098
758,1,2023-07-06,19H 59M 0S,1177
759,1,2023-07-08,9H 34M 0S,191
