id,id_day,date,time,n
144,1,2022-05-12,8H 46M 0S,857
145,2,2022-05-12,23H 16M 0S,779
146,1,2022-05-13,23H 8M 0S,718
147,1,2022-05-14,22H 51M 0S,662
148,1,2022-05-15,23H 1M 0S,748
149,1,2022-05-16,20H 52M 0S,1367
150,1,2022-05-17,17M 0S,528
151,2,2022-05-17,23H 48M 0S,1186
152,1,2022-05-18,24M 0S,501
153,2,2022-05-18,13H 52M 0S,816
154,3,2022-05-18,23H 42M 0S,889
155,1,2022-05-19,20H 3M 0S,1969
156,2,2022-05-19,23H 51M 0S,832
157,1,2022-05-20,22H 25M 0S,890
158,1,2022-05-21,23H 45M 0S,822
159,1,2022-05-22,16H 3M 0S,1553
160,2,2022-05-22,23H 31M 0S,755
161,1,2022-05-23,14H 55M 0S,2051
162,2,2022-05-23,22H 21M 0S,821
163,1,2022-05-24,22H 55M 0S,1031
164,1,2022-05-25,23H 43M 0S,1032
165,1,2022-05-26,16H 22M 0S,1446
166,2,2022-05-26,23H 51M 0S,1066
167,1,2022-05-27,15H 18M 0S,1752
168,2,2022-05-27,22H 53M 0S,1748
169,3,2022-05-27,23H 44M 0S,747
170,1,2022-05-28,21H 59M 0S,689
171,1,2022-05-29,20H 58M 0S,1228
172,1,2022-05-30,20H 14M 0S,1913
173,2,2022-05-30,23H 28M 0S,873
174,1,2022-05-31,22H 35M 0S,898
175,1,2022-06-02,23M 0S,942
176,2,2022-06-02,13H 30M 0S,1533
177,3,2022-06-02,18H 11M 0S,1476
178,4,2022-06-02,23H 58M 0S,971
179,1,2022-06-03,21H 35M 0S,1127
180,1,2022-06-04,9H 7M 0S,923
181,2,2022-06-04,10H 28M 0S,460
182,3,2022-06-04,23H 17M 0S,689
183,1,2022-06-05,21H 15M 0S,323
184,1,2022-06-06,1H 18M 0S,246
185,2,2022-06-06,23H 58M 0S,847
186,1,2022-06-07,23H 59M 0S,1066
187,1,2022-06-08,17H 46M 0S,795
188,2,2022-06-08,22H 38M 0S,684
189,1,2022-06-09,9H 25M 0S,1345
190,2,2022-06-09,14H 34M 0S,1214
191,3,2022-06-09,23H 54M 0S,854
192,1,2022-06-10,13H 3M 0S,1308
193,2,2022-06-10,22H 54M 0S,1181
194,1,2022-06-11,9M 0S,784
195,2,2022-06-11,13H 20M 0S,1438
196,3,2022-06-11,23H 30M 0S,575
197,1,2022-06-12,21H 18M 0S,427
198,2,2022-06-12,21H 46M 0S,638
199,1,2022-06-13,13H 22M 0S,680
200,2,2022-06-13,21H 52M 0S,1059
201,1,2022-06-14,22H 29M 0S,662
202,1,2022-06-15,15H 23M 0S,1448
203,2,2022-06-15,22H 46M 0S,648
204,1,2022-06-16,22H 17M 0S,762
205,1,2022-06-17,9H 45M 0S,1146
206,2,2022-06-17,21H 32M 0S,741
207,1,2022-06-19,5H 56M 0S,452
208,2,2022-06-19,22H 55M 0S,549
209,1,2022-06-20,16H 16M 0S,780
210,2,2022-06-20,16H 57M 0S,1489
211,3,2022-06-20,17H 53M 0S,1190
212,1,2022-06-21,1M 0S,906
213,2,2022-06-21,12H 58M 0S,283
214,3,2022-06-21,23H 38M 0S,820
215,1,2022-06-22,11H 54M 0S,254
216,2,2022-06-22,21H 20M 0S,1070
217,1,2022-06-23,20M 0S,833
218,2,2022-06-23,15H 35M 0S,1977
219,3,2022-06-23,22H 26M 0S,1205
220,1,2022-06-24,9H 37M 0S,1621
221,2,2022-06-24,19H 30M 0S,213
222,3,2022-06-24,23H 23M 0S,542
223,1,2022-06-25,25M 0S,158
224,2,2022-06-25,22H 45M 0S,569
225,1,2022-06-26,22H 47M 0S,833
226,1,2022-06-27,22H 39M 0S,728
227,1,2022-06-28,9H 2M 0S,1380
228,1,2022-06-29,0S,1564
229,2,2022-06-29,19M 0S,480
230,3,2022-06-29,13H 56M 0S,1729
231,4,2022-06-29,22H 49M 0S,754
232,1,2022-06-30,23H 32M 0S,554
233,1,2022-07-01,8H 3M 0S,1022
234,2,2022-07-01,11H 43M 0S,1208
235,3,2022-07-01,23H 27M 0S,596
236,1,2022-07-02,23H 10M 0S,631
237,1,2022-07-03,22H 46M 0S,841
238,1,2022-07-04,14H 42M 0S,730
239,2,2022-07-04,16H 44M 0S,1928
240,3,2022-07-04,22H 13M 0S,819
241,1,2022-07-05,12H 25M 0S,1424
242,2,2022-07-05,21H 35M 0S,715
243,1,2022-07-06,22H 30M 0S,731
244,1,2022-07-07,22H 59M 0S,661
245,1,2022-07-08,16H 45M 0S,1672
246,1,2022-07-09,37M 0S,537
247,2,2022-07-09,22H 15M 0S,500
248,1,2022-07-10,22H 25M 0S,557
249,1,2022-07-11,22H 32M 0S,751
250,1,2022-07-12,22H 42M 0S,685
251,1,2022-07-13,15H 4M 0S,1018
252,2,2022-07-13,22H 11M 0S,675
253,1,2022-07-14,17H 11M 0S,1462
254,2,2022-07-14,22H 50M 0S,745
255,1,2022-07-15,23H 19M 0S,647
256,1,2022-07-16,21H 59M 0S,732
257,1,2022-07-17,22H 30M 0S,967
258,1,2022-07-18,22H 37M 0S,475
259,1,2022-07-19,22H 59M 0S,867
260,1,2022-07-20,22H 6M 0S,803
261,1,2022-07-21,22H 25M 0S,837
262,1,2022-07-22,22H 28M 0S,725
263,1,2022-07-23,19H 4M 0S,981
264,2,2022-07-23,23H 42M 0S,689
265,1,2022-07-24,22H 2M 0S,462
266,1,2022-07-25,21H 28M 0S,598
267,1,2022-07-26,20H 20M 0S,896
268,2,2022-07-26,22H 38M 0S,652
269,1,2022-07-27,22H 45M 0S,571
270,1,2022-07-28,10H 41M 0S,1009
271,2,2022-07-28,16H 15M 0S,1504
272,3,2022-07-28,23H 22M 0S,704
273,1,2022-07-29,23H 51M 0S,676
274,1,2022-07-30,22H 22M 0S,569
275,1,2022-07-31,22H 11M 0S,594
276,1,2022-08-01,22H 22M 0S,763
277,1,2022-08-02,21H 50M 0S,811
278,1,2022-08-03,13H 59M 0S,1192
279,2,2022-08-03,22H 43M 0S,817
280,1,2022-08-04,22H 38M 0S,779
281,1,2022-08-05,22H 43M 0S,835
282,1,2022-08-06,22H 47M 0S,865
283,1,2022-08-07,21H 7M 0S,627
284,1,2022-08-08,22H 57M 0S,924
285,1,2022-08-09,23H 11M 0S,725
286,1,2022-08-10,22H 34M 0S,763
287,1,2022-08-11,14H 8M 0S,1560
288,2,2022-08-11,22H 52M 0S,832
289,1,2022-08-12,23H 19M 0S,725
290,1,2022-08-13,21H 56M 0S,767
291,1,2022-08-14,22H 11M 0S,582
292,1,2022-08-15,22H 52M 0S,873
293,1,2022-08-16,22H 9M 0S,851
294,1,2022-08-17,21H 33M 0S,1387
295,2,2022-08-17,21H 41M 0S,584
296,1,2022-08-18,21H 6M 0S,826
297,1,2022-08-19,22H 43M 0S,612
298,1,2022-08-20,21H 22M 0S,647
299,1,2022-08-22,45M 0S,544
300,2,2022-08-22,21H 57M 0S,828
301,1,2022-08-23,17H 5M 0S,2153
302,2,2022-08-23,20H 49M 0S,1077
303,1,2022-08-24,9H 7M 0S,1343
304,2,2022-08-24,21H 21M 0S,1400
305,3,2022-08-24,23H 29M 0S,283
306,1,2022-08-25,22H 18M 0S,1009
307,1,2022-08-26,22H 36M 0S,830
308,1,2022-08-27,22H 5M 0S,653
309,1,2022-08-28,21H 47M 0S,464
310,1,2022-08-29,15H 49M 0S,1816
311,2,2022-08-29,17H 39M 0S,1521
312,3,2022-08-29,21H 12M 0S,1507
313,4,2022-08-29,22H 47M 0S,619
314,1,2022-08-30,22H 3M 0S,911
315,1,2022-08-31,20H 17M 0S,1743
316,2,2022-08-31,23H 0M 0S,661
317,1,2022-09-01,25M 0S,477
318,2,2022-09-01,8H 1M 0S,908
319,3,2022-09-01,10H 3M 0S,327
320,4,2022-09-01,22H 27M 0S,1168
321,1,2022-09-02,12H 26M 0S,1849
322,2,2022-09-02,21H 50M 0S,564
323,1,2022-09-03,21H 20M 0S,572
324,1,2022-09-04,22H 20M 0S,850
325,1,2022-09-05,22H 10M 0S,865
326,1,2022-09-06,19H 48M 0S,1488
327,2,2022-09-06,23H 27M 0S,1307
328,1,2022-09-07,22H 33M 0S,1409
329,1,2022-09-08,22H 11M 0S,935
330,1,2022-09-09,22H 18M 0S,1008
331,1,2022-09-10,21H 34M 0S,943
332,2,2022-09-10,22H 32M 0S,1973
333,1,2022-09-11,22H 10M 0S,1630
334,1,2022-09-12,23H 0M 0S,1098
335,1,2022-09-13,22H 10M 0S,745
336,1,2022-09-15,2H 10M 0S,1044
337,2,2022-09-15,23H 39M 0S,1154
338,1,2022-09-16,22H 38M 0S,794
339,1,2022-09-17,21H 44M 0S,628
340,1,2022-09-18,21H 30M 0S,419
341,1,2022-09-19,20H 5M 0S,625
342,1,2022-09-21,29M 0S,778
343,2,2022-09-21,2H 19M 0S,774
344,1,2022-09-22,2H 12M 0S,2960
345,2,2022-09-22,22H 0M 0S,990
346,1,2022-09-23,10H 2M 0S,1445
347,2,2022-09-23,14H 46M 0S,445
348,3,2022-09-23,23H 14M 0S,1660
349,1,2022-09-24,21H 59M 0S,913
350,1,2022-09-25,23H 25M 0S,907
351,1,2022-09-26,22H 41M 0S,791
352,1,2022-09-27,23H 22M 0S,920
353,2,2022-09-27,23H 56M 0S,652
354,1,2022-09-28,9H 37M 0S,1863
355,2,2022-09-28,22H 52M 0S,1068
356,3,2022-09-28,23H 10M 0S,733
357,1,2022-09-29,20H 21M 0S,1025
358,2,2022-09-29,22H 6M 0S,863
359,1,2022-09-30,17H 2M 0S,861
360,2,2022-09-30,21H 43M 0S,826
361,1,2022-10-01,21H 28M 0S,717
362,1,2022-10-02,23H 3M 0S,1075
363,1,2022-10-03,23H 44M 0S,938
364,1,2022-10-04,22H 44M 0S,708
365,1,2022-10-05,9H 51M 0S,1459
366,2,2022-10-05,22H 49M 0S,1001
367,1,2022-10-06,8H 31M 0S,988
368,2,2022-10-06,13H 42M 0S,1553
369,3,2022-10-06,17H 5M 0S,1285
370,4,2022-10-06,22H 27M 0S,922
371,1,2022-10-07,14H 44M 0S,1530
372,2,2022-10-07,21H 26M 0S,599
373,1,2022-10-08,15H 27M 0S,1081
374,2,2022-10-08,21H 25M 0S,613
375,1,2022-10-09,22H 14M 0S,755
376,1,2022-10-10,11H 9M 0S,215
377,2,2022-10-10,21H 46M 0S,1143
378,1,2022-10-11,17H 3M 0S,1477
379,2,2022-10-11,20H 15M 0S,1036
380,3,2022-10-11,21H 29M 0S,880
381,1,2022-10-12,22H 21M 0S,692
382,2,2022-10-12,22H 49M 0S,880
383,1,2022-10-13,16H 15M 0S,1379
384,2,2022-10-13,22H 39M 0S,989
385,1,2022-10-14,9H 4M 0S,1363
386,2,2022-10-14,23H 12M 0S,683
387,1,2022-10-15,21H 5M 0S,678
388,1,2022-10-16,22H 27M 0S,1007
389,1,2022-10-17,22H 27M 0S,874
390,1,2022-10-18,22H 16M 0S,792
391,1,2022-10-19,23H 6M 0S,818
392,1,2022-10-20,20H 6M 0S,1748
393,2,2022-10-20,22H 39M 0S,1001
394,1,2022-10-21,16H 39M 0S,760
395,2,2022-10-21,20H 27M 0S,891
396,1,2022-10-22,22H 10M 0S,899
397,1,2022-10-23,20H 53M 0S,773
398,1,2022-10-24,17H 46M 0S,1247
399,2,2022-10-24,22H 3M 0S,867
400,1,2022-10-25,13H 14M 0S,1604
401,2,2022-10-25,13H 36M 0S,1326
402,3,2022-10-25,22H 46M 0S,690
403,1,2022-10-26,22H 39M 0S,898
404,1,2022-10-28,2M 0S,1078
405,2,2022-10-28,21H 15M 0S,795
406,1,2022-10-29,11H 58M 0S,1284
407,2,2022-10-29,21H 37M 0S,989
408,1,2022-10-30,22H 48M 0S,912
409,1,2022-10-31,21H 2M 0S,719
410,2,2022-10-31,22H 36M 0S,932
411,1,2022-11-01,22H 47M 0S,887
412,1,2022-11-02,23H 4M 0S,835
413,1,2022-11-03,22H 41M 0S,1371
414,1,2022-11-04,22H 7M 0S,1055
415,1,2022-11-05,19H 6M 0S,918
416,1,2022-11-06,21H 22M 0S,663
417,1,2022-11-07,22H 25M 0S,799
418,1,2022-11-08,12H 45M 0S,871
419,2,2022-11-08,19H 44M 0S,867
420,3,2022-11-08,23H 3M 0S,1000
421,1,2022-11-09,22H 44M 0S,763
422,1,2022-11-10,22H 9M 0S,877
423,1,2022-11-11,15H 17M 0S,100
424,2,2022-11-11,19H 49M 0S,1023
425,1,2022-11-12,20H 5M 0S,826
426,1,2022-11-13,21H 24M 0S,681
427,1,2022-11-14,23H 55M 0S,882
428,1,2022-11-15,7H 31M 0S,3175
429,2,2022-11-15,22H 28M 0S,716
430,1,2022-11-16,9H 21M 0S,474
431,2,2022-11-16,21H 48M 0S,839
432,1,2022-11-17,12H 25M 0S,1257
433,2,2022-11-17,22H 19M 0S,913
434,1,2022-11-18,18H 20M 0S,787
435,2,2022-11-18,23H 28M 0S,820
436,1,2022-11-19,9H 53M 0S,490
437,2,2022-11-19,19H 19M 0S,359
438,1,2022-11-20,19H 17M 0S,616
439,2,2022-11-20,21H 19M 0S,501
440,1,2022-11-21,9H 1M 0S,1104
441,2,2022-11-21,16H 53M 0S,1122
442,3,2022-11-21,22H 10M 0S,917
443,1,2022-11-22,18H 50M 0S,1031
444,2,2022-11-22,22H 47M 0S,895
445,1,2022-11-24,15M 0S,813
446,2,2022-11-24,33M 0S,539
447,3,2022-11-24,13H 59M 0S,1036
448,4,2022-11-24,22H 25M 0S,1001
449,1,2022-11-25,12H 25M 0S,1218
450,2,2022-11-25,22H 5M 0S,709
451,1,2022-11-26,15H 12M 0S,1826
452,2,2022-11-26,20H 4M 0S,792
453,1,2022-11-27,22H 8M 0S,470
454,1,2022-11-28,22H 27M 0S,785
455,1,2022-11-29,15H 13M 0S,774
456,2,2022-11-29,23H 33M 0S,827
457,1,2022-11-30,22H 25M 0S,472
458,1,2022-12-01,22H 47M 0S,878
459,1,2022-12-02,23H 45M 0S,647
460,1,2022-12-03,20H 7M 0S,632
461,1,2022-12-04,21H 53M 0S,599
462,1,2022-12-05,17H 12M 0S,932
463,2,2022-12-05,20H 56M 0S,549
464,1,2022-12-06,22H 56M 0S,561
465,1,2022-12-07,11H 37M 0S,404
466,2,2022-12-07,20H 50M 0S,409
467,3,2022-12-07,22H 48M 0S,773
468,1,2022-12-08,12H 14M 0S,313
469,2,2022-12-08,22H 17M 0S,423
470,1,2022-12-09,11H 10M 0S,336
471,2,2022-12-09,13H 3M 0S,1029
472,3,2022-12-09,15H 26M 0S,1560
473,4,2022-12-09,20H 4M 0S,679
474,1,2022-12-10,22H 3M 0S,760
475,1,2022-12-11,22H 1M 0S,417
476,1,2022-12-12,19H 51M 0S,1266
477,2,2022-12-12,22H 11M 0S,785
478,1,2022-12-13,12H 54M 0S,1219
479,2,2022-12-13,19H 5M 0S,1214
480,3,2022-12-13,22H 20M 0S,544
481,4,2022-12-13,23H 9M 0S,1269
482,1,2022-12-14,15H 30M 0S,947
483,2,2022-12-14,20H 10M 0S,805
484,1,2022-12-15,14H 13M 0S,1740
485,2,2022-12-15,22H 58M 0S,354
486,1,2022-12-16,20H 1M 0S,600
487,1,2022-12-17,21H 5M 0S,563
488,1,2022-12-18,22H 23M 0S,747
489,1,2022-12-19,14H 25M 0S,1351
490,2,2022-12-19,23H 45M 0S,961
491,1,2022-12-20,21H 27M 0S,512
492,1,2022-12-22,7H 39M 0S,1817
493,2,2022-12-22,18H 6M 0S,307
494,1,2022-12-23,16H 2M 0S,2509
495,2,2022-12-23,19H 42M 0S,679
496,1,2022-12-24,19H 0M 0S,1052
497,1,2022-12-25,20H 50M 0S,608
498,1,2022-12-26,22H 11M 0S,491
499,1,2022-12-27,22H 21M 0S,571
500,1,2022-12-28,18H 51M 0S,4508
501,2,2022-12-28,22H 18M 0S,495
502,1,2022-12-29,22H 54M 0S,529
503,1,2022-12-30,19H 46M 0S,383
504,1,2022-12-31,17H 49M 0S,547
505,2,2022-12-31,23H 55M 0S,1618
506,1,2023-01-01,20H 2M 0S,346
507,1,2023-01-02,21H 30M 0S,620
508,1,2023-01-03,22H 17M 0S,693
509,1,2023-01-04,22H 44M 0S,797
510,1,2023-01-05,23H 3M 0S,1170
511,1,2023-01-06,19H 0M 0S,511
512,2,2023-01-06,21H 21M 0S,784
513,1,2023-01-07,19H 58M 0S,462
514,1,2023-01-08,20H 56M 0S,600
515,1,2023-01-09,22H 30M 0S,706
516,1,2023-01-10,22H 4M 0S,724
517,1,2023-01-11,19H 2M 0S,467
518,1,2023-01-12,22H 7M 0S,555
519,1,2023-01-13,13H 15M 0S,879
520,2,2023-01-13,22H 30M 0S,718
521,1,2023-01-14,19H 41M 0S,595
522,1,2023-01-15,21H 8M 0S,622
523,1,2023-01-16,22H 17M 0S,925
524,1,2023-01-17,21H 28M 0S,1064
525,2,2023-01-17,22H 44M 0S,575
526,1,2023-01-18,20H 41M 0S,715
527,2,2023-01-18,22H 7M 0S,679
528,1,2023-01-19,12H 24M 0S,397
529,2,2023-01-19,22H 50M 0S,877
530,1,2023-01-20,14H 3M 0S,724
531,2,2023-01-20,20H 11M 0S,634
532,1,2023-01-21,18H 0M 0S,711
533,2,2023-01-21,20H 24M 0S,244
534,1,2023-01-22,9H 3M 0S,635
535,2,2023-01-22,21H 36M 0S,690
536,1,2023-01-23,19H 43M 0S,752
537,2,2023-01-23,22H 45M 0S,665
538,1,2023-01-24,23H 24M 0S,1003
539,1,2023-01-25,21H 39M 0S,815
540,1,2023-01-26,22H 12M 0S,759
541,1,2023-01-27,10H 49M 0S,136
542,2,2023-01-27,19H 54M 0S,721
543,1,2023-01-28,21H 38M 0S,593
544,1,2023-01-29,20H 35M 0S,842
545,1,2023-01-30,20H 25M 0S,630
546,1,2023-01-31,22H 56M 0S,594
