doc_id,date,id,id_day,net_sentiment
text194,2022-06-11,194,1,33
text195,2022-06-11,195,2,15
text196,2022-06-11,196,3,15
text197,2022-06-12,197,1,-1
text198,2022-06-12,198,2,9
text199,2022-06-13,199,1,-38
text200,2022-06-13,200,2,5
text201,2022-06-14,201,1,-12
text202,2022-06-15,202,1,98
text203,2022-06-15,203,2,65
text204,2022-06-16,204,1,36
text205,2022-06-17,205,1,-39
text206,2022-06-17,206,2,83
text207,2022-06-19,207,1,36
text208,2022-06-19,208,2,59
text209,2022-06-20,209,1,42
text210,2022-06-20,210,2,-65
text211,2022-06-20,211,3,14
text212,2022-06-21,212,1,51
text213,2022-06-21,213,2,23
text214,2022-06-21,214,3,61
text215,2022-06-22,215,1,6
text216,2022-06-22,216,2,25
text217,2022-06-23,217,1,43
text218,2022-06-23,218,2,49
text219,2022-06-23,219,3,187
text220,2022-06-24,220,1,60
text221,2022-06-24,221,2,21
text222,2022-06-24,222,3,46
text223,2022-06-25,223,1,13
text224,2022-06-25,224,2,3
text225,2022-06-26,225,1,-4
text226,2022-06-27,226,1,-39
text227,2022-06-28,227,1,25
text228,2022-06-29,228,1,-66
text229,2022-06-29,229,2,7
text230,2022-06-29,230,3,-23
text231,2022-06-29,231,4,15
text232,2022-06-30,232,1,42
text233,2022-07-01,233,1,-4
text234,2022-07-01,234,2,102
text235,2022-07-01,235,3,11
text236,2022-07-02,236,1,3
text237,2022-07-03,237,1,30
text238,2022-07-04,238,1,46
text239,2022-07-04,239,2,22
text240,2022-07-04,240,3,7
text241,2022-07-05,241,1,-25
text242,2022-07-05,242,2,13
text243,2022-07-06,243,1,-2
text244,2022-07-07,244,1,18
text245,2022-07-08,245,1,72
text246,2022-07-09,246,1,63
text247,2022-07-09,247,2,10
text248,2022-07-10,248,1,-24
text249,2022-07-11,249,1,31
text250,2022-07-12,250,1,33
text251,2022-07-13,251,1,-40
text252,2022-07-13,252,2,30
text253,2022-07-14,253,1,-132
text254,2022-07-14,254,2,-24
text255,2022-07-15,255,1,-12
text256,2022-07-16,256,1,-4
text257,2022-07-17,257,1,-15
text258,2022-07-18,258,1,11
text259,2022-07-19,259,1,23
text260,2022-07-20,260,1,21
text261,2022-07-21,261,1,-13
text262,2022-07-22,262,1,38
text263,2022-07-23,263,1,39
text264,2022-07-23,264,2,30
text265,2022-07-24,265,1,22
text266,2022-07-25,266,1,-7
text267,2022-07-26,267,1,48
text268,2022-07-26,268,2,18
text269,2022-07-27,269,1,5
text270,2022-07-28,270,1,5
text271,2022-07-28,271,2,130
text272,2022-07-28,272,3,57
text273,2022-07-29,273,1,14
text274,2022-07-30,274,1,5
text275,2022-07-31,275,1,32
text276,2022-08-01,276,1,17
text277,2022-08-02,277,1,39
text278,2022-08-03,278,1,-57
text279,2022-08-03,279,2,20
text280,2022-08-04,280,1,-61
text281,2022-08-05,281,1,-5
text282,2022-08-06,282,1,25
text283,2022-08-07,283,1,37
text284,2022-08-08,284,1,-3
text285,2022-08-09,285,1,23
text286,2022-08-10,286,1,-11
text287,2022-08-11,287,1,-53
text288,2022-08-11,288,2,34
text289,2022-08-12,289,1,67
text290,2022-08-13,290,1,15
text291,2022-08-14,291,1,2
text292,2022-08-15,292,1,-14
text293,2022-08-16,293,1,31
text294,2022-08-17,294,1,-72
text295,2022-08-17,295,2,32
text296,2022-08-18,296,1,62
text297,2022-08-19,297,1,15
text298,2022-08-20,298,1,6
text299,2022-08-22,299,1,-2
text300,2022-08-22,300,2,28
text301,2022-08-23,301,1,41
text302,2022-08-23,302,2,87
text303,2022-08-24,303,1,-26
text304,2022-08-24,304,2,-44
text305,2022-08-24,305,3,0
text306,2022-08-25,306,1,-12
text307,2022-08-26,307,1,35
text308,2022-08-27,308,1,99
text309,2022-08-28,309,1,31
text310,2022-08-29,310,1,-25
text311,2022-08-29,311,2,62
text312,2022-08-29,312,3,-43
text313,2022-08-29,313,4,26
text314,2022-08-30,314,1,29
text315,2022-08-31,315,1,0
text316,2022-08-31,316,2,36
text317,2022-09-01,317,1,-14
text318,2022-09-01,318,2,51
text319,2022-09-01,319,3,-10
text320,2022-09-01,320,4,19
text321,2022-09-02,321,1,21
text322,2022-09-02,322,2,57
text323,2022-09-03,323,1,12
text324,2022-09-04,324,1,35
text325,2022-09-05,325,1,39
text326,2022-09-06,326,1,39
text327,2022-09-06,327,2,71
text328,2022-09-07,328,1,83
text329,2022-09-08,329,1,51
text330,2022-09-09,330,1,54
text331,2022-09-10,331,1,68
text332,2022-09-10,332,2,47
text333,2022-09-11,333,1,-8
text334,2022-09-12,334,1,-54
text335,2022-09-13,335,1,62
text336,2022-09-15,336,1,-23
text337,2022-09-15,337,2,23
text338,2022-09-16,338,1,52
text339,2022-09-17,339,1,-15
text340,2022-09-18,340,1,53
text341,2022-09-19,341,1,54
text342,2022-09-21,342,1,57
text343,2022-09-21,343,2,16
text344,2022-09-22,344,1,2
text345,2022-09-22,345,2,5
text346,2022-09-23,346,1,76
text347,2022-09-23,347,2,38
text348,2022-09-23,348,3,62
text349,2022-09-24,349,1,18
text350,2022-09-25,350,1,3
text351,2022-09-26,351,1,19
text352,2022-09-27,352,1,-13
text353,2022-09-27,353,2,20
text354,2022-09-28,354,1,-22
text355,2022-09-28,355,2,74
text356,2022-09-28,356,3,56
text357,2022-09-29,357,1,-78
text358,2022-09-29,358,2,-27
text359,2022-09-30,359,1,19
text360,2022-09-30,360,2,36
text361,2022-10-01,361,1,-1
text362,2022-10-02,362,1,74
text363,2022-10-03,363,1,-8
text364,2022-10-04,364,1,66
text365,2022-10-05,365,1,-119
text366,2022-10-05,366,2,55
text367,2022-10-06,367,1,-31
text368,2022-10-06,368,2,-68
text369,2022-10-06,369,3,-2
text370,2022-10-06,370,4,26
text371,2022-10-07,371,1,26
text372,2022-10-07,372,2,42
text373,2022-10-08,373,1,10
text374,2022-10-08,374,2,40
