id,date,sentiment,country
105,15 April 2022,-9,russia
106,16 April 2022,3,ukraine
106,16 April 2022,-5,russia
107,17 April 2022,23,ukraine
107,17 April 2022,-5,russia
108,18 April 2022,18,ukraine
108,18 April 2022,-7,russia
109,19 April 2022,15,ukraine
109,19 April 2022,-8,russia
110,20 April 2022,17,ukraine
110,20 April 2022,-5,russia
111,21 April 2022,-10,ukraine
111,21 April 2022,-10,russia
112,22 April 2022,7,ukraine
112,22 April 2022,2,russia
113,22 April 2022,13,ukraine
113,22 April 2022,-1,russia
114,22 April 2022,0,ukraine
114,22 April 2022,-2,russia
115,24 April 2022,10,ukraine
115,24 April 2022,-13,russia
116,24 April 2022,20,ukraine
116,24 April 2022,-3,russia
117,25 April 2022,18,ukraine
117,25 April 2022,-9,russia
118,25 April 2022,18,ukraine
118,25 April 2022,1,russia
119,26 April 2022,8,ukraine
119,26 April 2022,-3,russia
120,27 April 2022,16,ukraine
120,27 April 2022,0,russia
121,28 April 2022,4,ukraine
121,28 April 2022,-9,russia
122,29 April 2022,8,ukraine
122,29 April 2022,-2,russia
123,30 April 2022,14,ukraine
123,30 April 2022,-5,russia
124,01 May 2022,13,ukraine
124,01 May 2022,-1,russia
125,02 May 2022,7,ukraine
125,02 May 2022,-4,russia
126,03 May 2022,19,ukraine
126,03 May 2022,-1,russia
127,03 May 2022,8,ukraine
127,03 May 2022,-15,russia
128,03 May 2022,11,ukraine
128,03 May 2022,-1,russia
129,04 May 2022,7,ukraine
129,04 May 2022,3,russia
130,05 May 2022,8,ukraine
130,05 May 2022,-9,russia
131,05 May 2022,8,ukraine
131,05 May 2022,0,russia
132,05 May 2022,28,ukraine
132,05 May 2022,2,russia
133,06 May 2022,4,ukraine
133,06 May 2022,-11,russia
134,06 May 2022,7,ukraine
134,06 May 2022,7,russia
135,06 May 2022,20,ukraine
135,06 May 2022,6,russia
136,07 May 2022,7,ukraine
136,07 May 2022,-4,russia
137,08 May 2022,-1,ukraine
137,08 May 2022,-2,russia
138,08 May 2022,18,ukraine
138,08 May 2022,-3,russia
139,08 May 2022,30,ukraine
139,08 May 2022,-1,russia
140,09 May 2022,9,ukraine
140,09 May 2022,0,russia
141,09 May 2022,15,ukraine
141,09 May 2022,-2,russia
142,10 May 2022,12,ukraine
142,10 May 2022,-1,russia
143,10 May 2022,15,ukraine
143,10 May 2022,-5,russia
144,11 May 2022,-4,ukraine
144,11 May 2022,-7,russia
145,11 May 2022,14,ukraine
145,11 May 2022,3,russia
146,12 May 2022,17,ukraine
146,12 May 2022,-1,russia
147,12 May 2022,17,ukraine
147,12 May 2022,-2,russia
148,13 May 2022,10,ukraine
148,13 May 2022,-6,russia
149,14 May 2022,14,ukraine
149,14 May 2022,0,russia
150,15 May 2022,11,ukraine
150,15 May 2022,-10,russia
151,16 May 2022,3,ukraine
151,16 May 2022,-3,russia
152,17 May 2022,13,ukraine
152,17 May 2022,-1,russia
153,17 May 2022,1,ukraine
153,17 May 2022,-10,russia
154,18 May 2022,9,ukraine
154,18 May 2022,2,russia
155,18 May 2022,0,ukraine
155,18 May 2022,-3,russia
156,18 May 2022,19,ukraine
156,18 May 2022,-3,russia
157,19 May 2022,12,ukraine
157,19 May 2022,-1,russia
158,19 May 2022,14,ukraine
158,19 May 2022,-5,russia
159,20 May 2022,9,ukraine
159,20 May 2022,-9,russia
160,21 May 2022,9,ukraine
160,21 May 2022,1,russia
161,22 May 2022,31,ukraine
161,22 May 2022,4,russia
162,22 May 2022,21,ukraine
162,22 May 2022,2,russia
163,23 May 2022,16,ukraine
163,23 May 2022,-9,russia
164,23 May 2022,12,ukraine
164,23 May 2022,2,russia
165,24 May 2022,15,ukraine
165,24 May 2022,-15,russia
166,25 May 2022,11,ukraine
166,25 May 2022,-9,russia
167,26 May 2022,9,ukraine
167,26 May 2022,-1,russia
168,26 May 2022,5,ukraine
168,26 May 2022,-1,russia
169,27 May 2022,9,ukraine
169,27 May 2022,-13,russia
170,27 May 2022,17,ukraine
170,27 May 2022,2,russia
171,27 May 2022,6,ukraine
171,27 May 2022,-5,russia
172,28 May 2022,-1,ukraine
172,28 May 2022,-6,russia
173,29 May 2022,4,ukraine
173,29 May 2022,4,russia
174,30 May 2022,13,ukraine
174,30 May 2022,-9,russia
175,30 May 2022,0,ukraine
175,30 May 2022,-6,russia
176,31 May 2022,12,ukraine
176,31 May 2022,0,russia
177,02 June 2022,-3,ukraine
177,02 June 2022,-17,russia
178,02 June 2022,11,ukraine
178,02 June 2022,-2,russia
179,02 June 2022,1,ukraine
179,02 June 2022,-19,russia
180,02 June 2022,12,ukraine
180,02 June 2022,-6,russia
181,03 June 2022,26,ukraine
181,03 June 2022,-1,russia
182,04 June 2022,7,ukraine
182,04 June 2022,-6,russia
183,04 June 2022,3,ukraine
183,04 June 2022,-1,russia
184,04 June 2022,4,ukraine
184,04 June 2022,-10,russia
185,05 June 2022,4,ukraine
185,05 June 2022,-1,russia
186,06 June 2022,3,ukraine
187,06 June 2022,24,ukraine
187,06 June 2022,0,russia
188,07 June 2022,4,ukraine
188,07 June 2022,-3,russia
189,08 June 2022,9,ukraine
189,08 June 2022,-2,russia
190,08 June 2022,8,ukraine
190,08 June 2022,4,russia
191,09 June 2022,10,ukraine
191,09 June 2022,-5,russia
192,09 June 2022,-3,ukraine
192,09 June 2022,-14,russia
193,09 June 2022,3,ukraine
193,09 June 2022,-1,russia
194,10 June 2022,3,ukraine
194,10 June 2022,-7,russia
195,10 June 2022,-2,ukraine
195,10 June 2022,-3,russia
196,11 June 2022,7,ukraine
196,11 June 2022,-3,russia
197,11 June 2022,16,ukraine
197,11 June 2022,-23,russia
198,11 June 2022,3,ukraine
198,11 June 2022,-1,russia
199,12 June 2022,10,ukraine
199,12 June 2022,-1,russia
200,12 June 2022,12,ukraine
200,12 June 2022,-5,russia
201,13 June 2022,2,ukraine
201,13 June 2022,-13,russia
