docname,pre,keyword,post,id,date,id_day
text564,", 208th kherson anti-aircraft missile brigades , and the 302nd kharkiv anti-aircraft missile regiment . thank you guys ! ,",thank you,to all our soldiers for the latest results that ukraine needs in terms of resistance and repelling enemy assaults in,564,2023-02-11,1
text564,"terms of resistance and repelling enemy assaults in donetsk region – near bakhmut , avdiyivka , and other directions .",thank you,"to the soldiers of the 80th separate mountain assault brigade , the 5th separate assault regiment , the border guards",564,2023-02-11,1
text564,"and intelligence , aviation , mortars , gunners , infantry , tankers , and anyone and everyone who helps .",thank you,"all ! , glory to all who make ukraine stronger , the enemy weaker , and our victory closer !",564,2023-02-11,1
text565,"! do not waste a single day or a single week ! all for the sake of ukraine ! ,",thank you,"to everyone who works for our country ! glory to each and every one who is in combat ! ,",565,2023-02-12,1
text566,"norwegian assistance . but the energy , political and other support from our norwegian friends is also important . ,",thank you,"again for all this help ! , i spoke with the president-elect of the republic of cyprus . i congratulated",566,2023-02-13,1
text566,region . and also the warriors of the 5th separate assault regiment who are heroically defending the donetsk region .,thank you,"all , guys ! , let's remember : every new result achieved for ukraine means a shorter time to victory",566,2023-02-13,1
text568,"the 54th separate mechanized brigade named after hetman ivan mazepa , the 10th separate assault brigade "" edelweiss "" -",thank you,"guys for the effective defense of the donetsk region ! , the 25th separate airborne sicheslav brigade , the 81st",568,2023-02-15,1
text568,", the 25th separate airborne sicheslav brigade , the 81st separate airmobile brigade and the 95th air assault brigade -",thank you,"guys for defending the luhansk region ! , every day of your defense now allows us to prepare the future",568,2023-02-15,1
text569,",",thank you,"very much ! , mr . prime minister , jonas , thank you for your kind words about ukraine and",569,2023-02-16,1
text569,", thank you very much ! , mr . prime minister , jonas ,",thank you,"for your kind words about ukraine and for your leadership . this is what strengthens both our countries . ,",569,2023-02-16,1
text569,"occupied territory of ukraine . , this is just as sure as your nasams protect our skies . i especially",thank you,for them ! because every day and every night we need air defense - it is a matter of life,569,2023-02-16,1
text569,". we are acting systemically and in a long-term manner , and this is the most effective manner . ,",thank you,", norway ! thank you again , jonas , mr . prime minister , and thank you to everyone here",569,2023-02-16,1
text569,"and in a long-term manner , and this is the most effective manner . , thank you , norway !",thank you,"again , jonas , mr . prime minister , and thank you to everyone here for your support ! ,",569,2023-02-16,1
text569,"manner . , thank you , norway ! thank you again , jonas , mr . prime minister , and",thank you,"to everyone here for your support ! , glory to ukraine !",569,2023-02-16,1
text570,"heroes . , paratroopers of the 79th separate air assault brigade and artillerymen of the 55th separate artillery brigade -",thank you,guys for your bravery and precision . thank you for your skillful and steadfast defense of the donetsk region .,570,2023-02-16,2
text570,assault brigade and artillerymen of the 55th separate artillery brigade - thank you guys for your bravery and precision .,thank you,"for your skillful and steadfast defense of the donetsk region . , zaporizhzhia direction - i thank all the warriors",570,2023-02-16,2
text572,"world . , olaf , emmanuel , all our friends – i think you've got me right . , i",thank you,"for your attention ! you – davids of the free world ! we , united davids shall prevail over putins",572,2023-02-17,2
text573,am honored to address your community of states for the first time . it is a special mission – to,thank you,"for your support of ukraine and the international order . , an order that is vital for everyone in the",573,2023-02-17,3
text573,", these are the principles of ukraine . these – i know , are your principles . , , i",thank you,for being on the side of the law . i thank you for your efforts to bring stability to your,573,2023-02-17,3
text573,", are your principles . , , i thank you for being on the side of the law . i",thank you,for your efforts to bring stability to your region and the world . but real stability is possible only when,573,2023-02-17,3
text573,"i invite you all to visit ukraine . , peace is a value that must be cared-for together ! ,",thank you,"for your attention ! , and i wish you a lasting peace ! , glory to ukraine !",573,2023-02-17,3
text574,"and luhansk regions . 54th separate mechanized brigade , 95th separate assault brigade , 25th separate airborne brigade – i",thank you,", soldiers ! i thank you all who hold our positions at the front , who destroy the enemy ,",574,2023-02-17,4
text574,"mechanized brigade , 95th separate assault brigade , 25th separate airborne brigade – i thank you , soldiers ! i",thank you,"all who hold our positions at the front , who destroy the enemy , and who give us all faith",574,2023-02-17,4
text574,". the victory of ukraine ! , glory to each and every one who is now in battle ! ,",thank you,"to everyone who helps our country ! , glory to ukraine !",574,2023-02-17,4
text575,to celebrate with the fighters who fight near zaporizhzhia . the 128th separate brigade of the territorial defense forces –,thank you,", guys , for repelling the attacks ! , i would also like to thank all our signalmen today for",575,2023-02-18,1
text575,"timely provides logistics for our troops , and to all the support forces of the armed forces of ukraine !",thank you,"! , thank you to everyone for whom the stability of ukraine and our positions are an unconditional personal ,",575,2023-02-18,1
text575,"our troops , and to all the support forces of the armed forces of ukraine ! thank you ! ,",thank you,"to everyone for whom the stability of ukraine and our positions are an unconditional personal , official , and professional",575,2023-02-18,1
text578,separate mechanized brigades . units and maintenance forces of these brigades . gunners of the 55th separate artillery brigade .,thank you,", guys , for your bravery and precision in the donetsk region ! , also , the 128th separate mountain",578,2023-02-20,2
text578,"also , the 128th separate mountain assault brigade and the 1st artillery division of the 44th separate artillery brigade .",thank you,"guys for the worthy response to the enemy's attacks against our zaporizhzhia ! , the 66th and the 92nd separate",578,2023-02-20,2
text578,"the 92nd separate mechanized brigades , the 81st separate airmobile brigade , and the 95th separate air assault brigade .",thank you,", guys , for not only inflicting significant losses on the enemy in the luhansk region , but also for",578,2023-02-20,2
text578,"giving faith in our movement to liberate our land . , glory to all who fight for ukraine ! ,",thank you,"to everyone who helps ! , may the memory of everyone who gave life for the freedom of ukraine live",578,2023-02-20,2
text580,"the strength of the family , the strength of the characters of those close to this person . , i",thank you,", dear mothers and fathers of our young officers , dear educators , for the kind of upbringing that allows",580,2023-02-22,1
